"","treatment","timestep","treatment_factor","timestep_factor","comp","plot_id","fire_tolerate_carbon","tree_carbon","fire_percentage","fire_percentage_01"
"207","mech","pre_treatment","mech","pre_treatment",350,"0350-00106",18.6859057762912,129.373217503856,14.443411191914,0.14443411191914
"208","mech","pre_treatment","mech","pre_treatment",350,"0350-00111",169.80669868604,261.432640048081,64.9523711556485,0.649523711556485
"209","mech","pre_treatment","mech","pre_treatment",350,"0350-00113",79.1162946707592,170.082673007261,46.516375402556,0.46516375402556
"210","mech","pre_treatment","mech","pre_treatment",350,"0350-00116",99.4013814330646,214.921523976454,46.2500821667143,0.462500821667143
"211","mech","pre_treatment","mech","pre_treatment",350,"0350-00117",33.3704692998209,205.418260389002,16.2451328507149,0.162451328507149
"212","mech","pre_treatment","mech","pre_treatment",350,"0350-00119",68.949933159602,210.362253608149,32.7767610286388,0.327767610286388
"213","mech","pre_treatment","mech","pre_treatment",490,"0490-00008",14.0005629601749,120.274499716841,11.6405081651855,0.116405081651855
"214","mech","pre_treatment","mech","pre_treatment",490,"0490-00035",85.0511566905357,193.766485541932,43.8936364318432,0.438936364318432
"215","mech","pre_treatment","mech","pre_treatment",490,"0490-00041",144.012089145767,277.980877133385,51.8064733915724,0.518064733915724
"216","mech","pre_treatment","mech","pre_treatment",490,"0490-00102",186.763371366162,211.72751034355,88.2093078330345,0.882093078330345
"217","mech","pre_treatment","mech","pre_treatment",490,"0490-00103",112.025694345847,303.134609254161,36.9557585725619,0.369557585725619
"218","mech","pre_treatment","mech","pre_treatment",490,"0490-00104",219.257323547576,354.656520519382,61.8224425217056,0.618224425217056
"219","mech","pre_treatment","mech","pre_treatment",490,"0490-00105",47.1436231785714,189.127897735692,24.9268477802546,0.249268477802546
"220","mech","pre_treatment","mech","pre_treatment",490,"0490-00110",63.3956704596157,168.045298600817,37.7253460748157,0.377253460748157
"221","mech","pre_treatment","mech","pre_treatment",490,"0490-00115",271.839969050212,363.714049169968,74.7400243874489,0.747400243874489
"222","mech","pre_treatment","mech","pre_treatment",490,"0490-00117",79.0899577372488,185.544009192073,42.6259829577013,0.426259829577013
"223","mech","pre_treatment","mech","pre_treatment",490,"0490-00122",72.7432146160261,237.720576323862,30.6003021450375,0.306003021450375
"224","mech","pre_treatment","mech","pre_treatment",490,"0490-00124",72.4298537078443,168.752729668254,42.9207005126566,0.429207005126566
"225","mech","pre_treatment","mech","pre_treatment",490,"0490-00126",77.0165467001813,192.386110003107,40.0322802404692,0.400322802404692
"226","mechburn","post_18","mechburn","post_18",180,"0180-00004",262.565913368715,290.805886049519,90.2890642743057,0.902890642743057
"227","mechburn","post_18","mechburn","post_18",180,"0180-00010",44.5935937585045,45.8938915639008,97.1667301222739,0.971667301222739
"228","mechburn","post_18","mechburn","post_18",180,"0180-00018",84.3671326243221,85.4260936720893,98.7603775354261,0.987603775354261
"229","mechburn","post_18","mechburn","post_18",180,"0180-00102",168.438555443986,291.459694160136,57.7913717810468,0.577913717810468
"230","mechburn","post_18","mechburn","post_18",180,"0180-00107",257.872264175578,276.557824746967,93.2435248980985,0.932435248980985
"231","mechburn","post_18","mechburn","post_18",180,"0180-00108",188.976697522801,210.211308296124,89.8984450715611,0.898984450715611
"232","mechburn","post_18","mechburn","post_18",180,"0180-00109",105.77106865403,155.32526717728,68.0964987707432,0.680964987707432
"233","mechburn","post_18","mechburn","post_18",180,"0180-00111",109.747306559583,180.289723510368,60.8727466118009,0.608727466118009
"234","mechburn","post_18","mechburn","post_18",180,"0180-00114",174.480013406111,300.466215189861,58.069761119685,0.58069761119685
"235","mechburn","post_18","mechburn","post_18",180,"0180-00120",15.0678941095527,15.0678941095527,100,1
"236","mechburn","post_18","mechburn","post_18",180,"0180-00121",49.1380269883606,281.973763206799,17.4264535925361,0.174264535925361
"237","mechburn","post_18","mechburn","post_18",380,"0380-00002",25.1456039917042,107.299136272706,23.4350479092352,0.234350479092352
"238","mechburn","post_18","mechburn","post_18",380,"0380-00004",48.3241150253096,215.648933994351,22.408696454106,0.22408696454106
"239","mechburn","post_18","mechburn","post_18",380,"0380-00006",79.3364287796239,126.177738810213,62.876724157306,0.62876724157306
"240","mechburn","post_18","mechburn","post_18",380,"0380-00010",33.1474658371587,108.107904553435,30.6614636312506,0.306614636312506
"241","mechburn","post_18","mechburn","post_18",380,"0380-00015",133.054314292605,155.50330456084,85.5636570993564,0.855636570993564
"242","mechburn","post_18","mechburn","post_18",380,"0380-00102",132.871839558607,189.790880933168,70.0096015705809,0.700096015705808
"243","mechburn","post_18","mechburn","post_18",380,"0380-00107",86.4981954086134,156.029242516552,55.4371693494812,0.554371693494812
"244","mechburn","post_18","mechburn","post_18",380,"0380-00110",123.314037474235,128.462095767404,95.9925468579541,0.959925468579541
"245","mechburn","post_18","mechburn","post_18",380,"0380-00114",234.361869420602,234.361869420602,100,1
"246","mechburn","post_18","mechburn","post_18",380,"0380-00117",61.0120620928322,207.16133862964,29.4514712525142,0.294514712525142
